"rgn_name","rgn_id","commodity","product","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Albania",82,"Coral and the like","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,87,221,100,27,45,78,44,77,19,14,0,50,16,0,104,38,37,9,63,134
"Albania",82,"Z_TOTAL","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,87,221,100,27,45,78,44,77,19,14,0,50,16,0,104,38,37,9,63,134
"Algeria",84,"Fish body oils, nei","fish_oil",23,19,26,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algeria",84,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2303.53723969788,0,2431.22834067333,2490.73858967124,0
"Algeria",84,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4289,0,7430,8930,9324,8972,8946,7697,8737,8585,7899,8476,8415,8484,8276,7461
"Algeria",84,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,1,1,0,0,0,0,0,0,0,0
"Algeria",84,"Z_TOTAL","fish_oil",23,19,26,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2303.53723969788,0,2431.22834067333,2490.73858967124,0
"Algeria",84,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4289,0,7430,8930,9324,8972,8946,7697,8737,8585,7899,8476,8415,8484,8276,7461
"Algeria",84,"Z_TOTAL","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,1,1,0,0,0,0,0,0,0,0
"Angola",200,"Fish body oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,10,6,0,19,34,33,23,50,34,43,41,23,22,32,40,41,45,60,46,54,32
"Angola",200,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,5,0,4,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1
"Angola",200,"Z_TOTAL","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,11,6,2,24,34,37,23,50,34,43,41,23,22,32,40,41,45.1,60,46,54,32.1
"Antigua and Barbuda",120,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,771.181593407455,834.211592129766,898.248348533802,962.456800046319,1027.04766339144,1090.8893117176,1154.94948109098,0,1282.7342339438,1,0.1,0,0.1,2,0,0,1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0,0,0,0.1
"Antigua and Barbuda",120,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,746.016303344935,0,0,923.462159949311,168,0,1101.05648021406,1160.21923847841,1219.35018310125,1278.54475500711,0,0,1,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",120,"Z_TOTAL","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,771.181593407455,834.211592129766,898.248348533802,962.456800046319,1027.04766339144,1090.8893117176,1154.94948109098,0,1282.7342339438,1,0.1,0,0.1,2,0,0,1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0,0,0,0.1
"Antigua and Barbuda",120,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,746.016303344935,0,0,923.462159949311,168,0,1101.05648021406,1160.21923847841,1219.35018310125,1278.54475500711,0,0,1,0,0,0,0,0,0,0,0,0
"Argentina",172,"Agar agar nei","seaweeds",6790,9860,8356,7932,9475,5835,4710,4454,6559,6288,5638,4474,1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",172,"Fish liver oils, nei","fish_oil",43,146,38,168,306,370,422,461,428,194,4,14,37,86,64,32,22,279,435,2,9,37,44,33,0,8,0,1,19,0,0.1,0.1,0,40,278,963,2148,2292,2341,1500,1750
"Argentina",172,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,0.1,1,4
