"rgn_id","year","taxa_code","sust_coeff"
5,2012,"Blue shrimp_1",0.372222222
5,2012,"Pacific cupped oyster_2",0.757142857
6,2012,"Blue shrimp_3",0.372222222
6,2012,"Whiteleg shrimp_4",0.374509804
7,2012,"Giant tiger prawn_5",0.366666667
8,2012,"Bear paw clam_6",0.811764706
8,2012,"Crocus giant clam_7",0.811764706
8,2012,"Elongate giant clam_8",0.811764706
8,2012,"Fluted giant clam_9",0.811764706
8,2012,"Giant clam_10",0.811764706
8,2012,"Milkfish_11",0.414285714
8,2012,"Smooth giant clam_12",0.811764706
9,2012,"Clams, etc. nei_13",0.766666667
9,2012,"Milkfish_14",0.414285714
10,2012,"Milkfish_15",0.414285714
11,2012,"Sixfinger threadfin_16",0.444010417
13,2012,"Banana prawn_17",0.275
13,2012,"Milkfish_18",0.414285714
13,2012,"Mullets nei_19",0.561111111
13,2012,"Whiteleg shrimp_20",0.374509804
14,2012,"Abalones nei_21",0.43
14,2012,"Abalones nei_22",0.43
14,2012,"Amberjacks nei_23",0.444010417
14,2012,"Amberjacks nei_24",0.444010417
14,2012,"Barramundi(=Giant seaperch)_25",0.17
14,2012,"Barramundi(=Giant seaperch)_26",0.23
14,2012,"Blackhead seabream_27",0.444010417
14,2012,"Blackhead seabream_28",0.444010417
14,2012,"Blood cockle_29",0.67
14,2012,"Blue swimming crab_30",0.416666667
14,2012,"Clams, etc. nei_31",0.766666667
14,2012,"Clams, etc. nei_32",0.766666667
14,2012,"Cobia_33",0.444010417
14,2012,"Cobia_34",0.444010417
14,2012,"Croakers, drums nei_35",0.444010417
14,2012,"Flathead grey mullet_36",0.37
14,2012,"Flathead grey mullet_37",0.37
14,2012,"Fourfinger threadfin_38",0.444010417
14,2012,"Giant tiger prawn_39",0.1
14,2012,"Greasyback shrimp_40",0.372222222
14,2012,"Greater amberjack_41",0.444010417
14,2012,"Groupers nei_42",0.33
14,2012,"Groupers nei_43",0.33
14,2012,"Indo-Pacific swamp crab_44",0.416666667
14,2012,"Japanese carpet shell_45",0.841666667
14,2012,"Japanese carpet shell_46",0.841666667
